;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
PIACENZA;CARPANETO PIACENTINO;835;917;495;575;699;702;491;2.437;4;7.155
PIACENZA;CASTELL'ARQUATO;509;491;278;330;449;457;292;1.632;-;4.438
PIACENZA;CASTEL SAN GIOVANNI;1.334;1.390;726;921;1.199;1.183;851;3.545;-;11.149
PIACENZA;CASTELVETRO PIACENTINO;589;617;357;371;518;534;357;1.529;8;4.880
PIACENZA;CERIGNALE;18;15;6;5;6;12;5;46;-;113
PIACENZA;COLI;128;108;45;44;86;61;53;449;1;975
PIACENZA;CORTE BRUGNATELLA;75;79;34;47;48;35;37;341;2;698
PIACENZA;CORTEMAGGIORE;482;486;295;314;442;411;310;1.258;6;4.004
PIACENZA;FARINI;158;145;49;74;94;84;55;687;1;1.347
PIACENZA;FERRIERE;153;139;58;73;85;83;52;593;2;1.238
PIACENZA;FIORENZUOLA D'ARDA;1.543;1.708;837;997;1.521;1.342;866;4.431;7;13.252
PIACENZA;GAZZOLA;259;266;157;164;227;227;165;784;-;2.249
PIACENZA;GOSSOLENGO;593;698;403;473;663;647;465;1.387;2;5.331
PIACENZA;GRAGNANO TREBBIENSE;529;545;283;321;414;413;287;1.293;1;4.086
PIACENZA;GROPPARELLO;272;246;137;146;172;201;122;1.014;-;2.310
PIACENZA;LUGAGNANO VAL D'ARDA;508;464;221;241;332;301;168;1.519;1;3.755
PIACENZA;MONTICELLI D'ONGINA;556;555;320;347;464;423;284;1.618;3;4.570
PIACENZA;MORFASSO;146;114;50;48;66;76;27;554;-;1.081
PIACENZA;NON DEFINITO PC;4;2;-;-;1;-;-;29;-;36
PIACENZA;OTTONE;57;60;21;26;46;39;29;242;-;520
PIACENZA;PIACENZA;10.174;10.667;5.808;6.775;8.854;9.503;7.296;26.701;79;85.857
PIACENZA;PIANELLO VAL TIDONE;271;232;130;158;187;212;122;786;-;2.098
PIACENZA;PIOZZANO;113;80;42;46;55;40;21;329;-;726
PIACENZA;PODENZANO;1.036;1.103;630;749;988;995;716;2.471;2;8.690
PIACENZA;PONTE DELL'OLIO;554;503;260;320;375;348;268;1.683;1;4.312
PIACENZA;PONTENURE;687;719;366;507;665;622;450;1.680;4;5.700
PIACENZA;RIVERGARO;778;821;476;599;769;768;511;1.994;2;6.718
PIACENZA;ROTTOFRENO;1.310;1.429;787;900;1.276;1.255;776;3.021;5;10.759
PIACENZA;SAN GIORGIO PIACENTINO;686;599;347;432;543;531;363;1.732;3;5.236
PIACENZA;SAN PIETRO IN CERRO;109;128;53;57;77;74;43;330;-;871
PIACENZA;SARMATO;364;291;173;206;248;286;193;974;4;2.739
PIACENZA;TRAVO;261;275;159;182;215;214;131;861;1;2.299
PIACENZA;VERNASCA;240;272;110;160;195;188;109;899;3;2.176
PIACENZA;VIGOLZONE;507;475;289;326;410;385;264;1.305;1;3.962
PIACENZA;VILLANOVA SULL'ARDA;195;217;122;117;199;180;114;551;4;1.699
PIACENZA;ZERBA;10;4;6;4;5;7;5;39;-;80
PIACENZA;ZIANO PIACENTINO;273;311;148;177;231;221;135;973;3;2.472
RAVENNA;ALFONSINE;1.432;1.478;710;847;1.023;973;696;3.929;6;11.094
RAVENNA;BAGNACAVALLO;2.054;1.980;944;1.141;1.438;1.433;976;5.771;5;15.742
RAVENNA;BAGNARA DI ROMAGNA;272;320;174;185;249;219;140;675;3;2.237
RAVENNA;BRISIGHELLA;965;920;445;477;579;563;423;3.124;1;7.497
RAVENNA;CASOLA VALSENIO;304;284;136;169;201;178;126;1.192;2;2.592
RAVENNA;CASTEL BOLOGNESE;1.076;1.098;541;623;841;841;578;2.600;2;8.200
RAVENNA;CERVIA;3.509;3.603;1.740;2.085;2.792;2.774;1.983;9.101;8;27.595
