;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
PIACENZA;GROPPARELLO;-;714;163;52;4;706;-;50;4;6;-;1.699
PIACENZA;LUGAGNANO VAL D'ARDA;-;1.047;240;62;4;1.295;-;60;5;14;-;2.727
PIACENZA;MONTICELLI D'ONGINA;1;1.415;257;63;9;1.562;-;112;29;11;-;3.459
PIACENZA;MORFASSO;-;301;39;16;1;381;-;17;-;3;-;758
PIACENZA;NON DEFINITO PC;-;12;-;-;-;6;-;-;-;-;-;18
PIACENZA;OTTONE;-;151;12;1;-;135;-;12;1;-;-;312
PIACENZA;PIACENZA;3;29.180;6.640;1.982;374;23.038;-;3.607;534;338;1;65.697
PIACENZA;PIANELLO VAL TIDONE;-;612;125;29;3;687;-;45;5;4;-;1.510
PIACENZA;PIOZZANO;-;188;50;9;-;239;-;18;1;-;-;505
PIACENZA;PODENZANO;-;2.510;748;193;27;2.503;-;312;64;36;-;6.393
PIACENZA;PONTE DELL'OLIO;-;1.277;309;66;7;1.323;-;105;7;16;-;3.110
PIACENZA;PONTENURE;-;1.634;463;116;30;1.862;-;183;31;27;-;4.346
PIACENZA;RIVERGARO;-;1.797;529;165;14;2.139;-;204;41;30;-;4.919
PIACENZA;ROTTOFRENO;-;3.392;870;257;19;3.283;-;363;52;46;-;8.282
PIACENZA;SAN GIORGIO PIACENTINO;-;1.505;446;116;14;1.661;-;188;24;32;-;3.986
PIACENZA;SAN PIETRO IN CERRO;-;214;62;24;2;281;-;16;5;2;-;606
PIACENZA;SARMATO;-;831;164;42;10;901;-;82;19;7;-;2.056
PIACENZA;TRAVO;-;691;189;49;5;713;-;64;6;12;-;1.729
PIACENZA;VERNASCA;-;567;122;84;5;711;-;39;5;11;-;1.544
PIACENZA;VIGOLZONE;-;1.146;342;77;7;1.161;-;132;18;14;-;2.897
PIACENZA;VILLANOVA SULL'ARDA;-;470;93;21;6;566;-;52;5;7;-;1.220
PIACENZA;ZERBA;-;30;6;1;1;22;-;1;-;-;-;61
PIACENZA;ZIANO PIACENTINO;-;723;119;42;1;858;-;78;8;4;-;1.833
RAVENNA;ALFONSINE;-;2.649;1.072;886;19;3.546;-;249;47;130;-;8.598
RAVENNA;BAGNACAVALLO;-;3.939;1.556;834;46;5.319;-;346;79;178;-;12.297
RAVENNA;BAGNARA DI ROMAGNA;-;512;225;106;11;708;-;55;3;31;-;1.651
RAVENNA;BRISIGHELLA;-;1.935;639;420;8;2.116;-;149;15;52;1;5.335
RAVENNA;CASOLA VALSENIO;-;744;190;83;-;706;-;34;3;13;-;1.773
RAVENNA;CASTEL BOLOGNESE;-;2.176;756;438;23;2.589;-;225;38;84;-;6.329
RAVENNA;CERVIA;1;7.732;2.415;1.119;99;7.449;-;777;154;286;-;20.032
RAVENNA;CONSELICE;1;2.345;938;479;24;3.080;-;174;41;102;-;7.184
RAVENNA;COTIGNOLA;1;1.796;676;329;16;2.327;-;169;36;68;-;5.418
RAVENNA;FAENZA;2;14.446;4.702;3.145;200;15.918;-;2.043;346;589;-;41.391
RAVENNA;FUSIGNANO;-;2.041;673;440;18;2.387;-;135;28;74;-;5.796
RAVENNA;LUGO;-;8.048;2.573;1.483;89;9.379;-;691;160;356;-;22.779
RAVENNA;MASSA LOMBARDA;-;2.548;958;424;26;3.063;-;190;34;89;-;7.332
RAVENNA;NON DEFINITO RA;-;13;2;1;-;13;-;-;-;-;-;29
RAVENNA;RAVENNA;5;40.796;14.918;7.388;546;43.127;-;4.697;782;1.849;-;114.108
RAVENNA;RIOLO TERME;-;1.350;482;286;11;1.588;-;114;13;48;-;3.892
RAVENNA;RUSSI;-;2.893;1.125;610;38;3.757;-;257;54;122;-;8.856
RAVENNA;SANT'AGATA SUL SANTERNO;-;705;270;131;6;888;-;97;15;25;-;2.137
RAVENNA;SOLAROLO;-;993;345;169;12;1.255;-;151;18;34;-;2.977
REGGIO EMILIA;ALBINEA;-;2.216;858;341;41;2.183;-;359;66;85;-;6.149
REGGIO EMILIA;BAGNOLO IN PIANO;-;2.491;819;293;18;2.347;-;290;34;49;1;6.342
REGGIO EMILIA;BAISO;-;866;222;114;7;1.219;-;76;17;18;-;2.539
REGGIO EMILIA;BIBBIANO;1;2.783;832;515;43;3.196;-;277;44;75;-;7.766
REGGIO EMILIA;BORETTO;-;1.470;380;117;14;1.625;-;123;25;28;-;3.782
REGGIO EMILIA;BRESCELLO;-;1.913;520;255;115;2.237;-;282;41;42;-;5.405
REGGIO EMILIA;CADELBOSCO DI SOPRA;-;2.606;936;349;19;3.055;-;337;43;60;-;7.405
REGGIO EMILIA;CAMPAGNOLA EMILIA;-;1.452;435;86;14;1.367;-;149;26;28;-;3.557
REGGIO EMILIA;CAMPEGINE;-;1.253;456;176;15;1.355;-;131;18;22;-;3.426
REGGIO EMILIA;CANOSSA;-;1.001;325;150;12;1.153;-;114;13;19;-;2.787
REGGIO EMILIA;CARPINETI;1;1.265;293;89;5;1.377;-;133;12;9;-;3.184
REGGIO EMILIA;CASALGRANDE;2;4.970;1.559;646;41;5.976;-;584;88;120;-;13.986
REGGIO EMILIA;CASINA;-;1.246;412;142;10;1.438;-;110;10;20;-;3.388
REGGIO EMILIA;CASTELLARANO;-;3.946;1.061;444;53;4.918;-;470;77;82;-;11.051
REGGIO EMILIA;CASTELNOVO DI SOTTO;-;2.218;694;282;28;2.397;-;177;31;57;-;5.884
REGGIO EMILIA;CASTELNOVO NE' MONTI;-;3.073;667;197;16;3.482;-;246;41;43;-;7.765
REGGIO EMILIA;CAVRIAGO;3;2.511;829;466;28;2.480;-;319;50;67;-;6.753
REGGIO EMILIA;CORREGGIO;1;6.656;2.337;704;102;6.138;-;876;124;164;-;17.102
